ticker,event_ticker,title,status,result,strike,volume,close_time,expiration_time
KXBTC15M-25DEC171745-45,KXBTC15M-25DEC171745,"BTC price up in next 15 mins?",finalized,no,86235,80,2025-12-17T22:45:00Z,2025-12-24T22:45:00Z
KXBTC15M-25DEC171730-30,KXBTC15M-25DEC171730,"BTC price up in next 15 mins?",finalized,yes,86048,856,2025-12-17T22:30:00Z,2025-12-24T22:30:00Z
KXBTC15M-25DEC171715-15,KXBTC15M-25DEC171715,"BTC price up in next 15 mins?",finalized,yes,85951,1233,2025-12-17T22:15:00Z,2025-12-24T22:15:00Z
KXBTC15M-25DEC171700-00,KXBTC15M-25DEC171700,"BTC price up in next 15 mins?",finalized,yes,85856,156,2025-12-17T22:00:00Z,2025-12-24T22:00:00Z
KXBTC15M-25DEC171645-45,KXBTC15M-25DEC171645,"BTC price up in next 15 mins?",finalized,yes,85799,395,2025-12-17T21:45:00Z,2025-12-24T21:45:00Z
KXBTC15M-25DEC171630-30,KXBTC15M-25DEC171630,"BTC price up in next 15 mins?",finalized,no,85979,801,2025-12-17T21:30:00Z,2025-12-24T21:30:00Z
KXBTC15M-25DEC171615-15,KXBTC15M-25DEC171615,"BTC price up in next 15 mins?",finalized,yes,85821,444,2025-12-17T21:15:00Z,2025-12-24T21:15:00Z
KXBTC15M-25DEC171600-00,KXBTC15M-25DEC171600,"BTC price up in next 15 mins?",finalized,no,86079,185,2025-12-17T21:00:00Z,2025-12-24T21:00:00Z
KXBTC15M-25DEC171545-45,KXBTC15M-25DEC171545,"BTC price up in next 15 mins?",finalized,no,86102,374,2025-12-17T20:45:00Z,2025-12-24T20:45:00Z
KXBTC15M-25DEC171530-30,KXBTC15M-25DEC171530,"BTC price up in next 15 mins?",finalized,yes,85673,417,2025-12-17T20:30:00Z,2025-12-24T20:30:00Z
KXBTC15M-25DEC171515-15,KXBTC15M-25DEC171515,"BTC price up in next 15 mins?",finalized,no,85976,1667,2025-12-17T20:15:00Z,2025-12-24T20:15:00Z
KXBTC15M-25DEC171500-00,KXBTC15M-25DEC171500,"BTC price up in next 15 mins?",finalized,yes,85617,151,2025-12-17T20:00:00Z,2025-12-24T20:00:00Z
KXBTC15M-25DEC171445-45,KXBTC15M-25DEC171445,"BTC price up in next 15 mins?",finalized,no,85708,829,2025-12-17T19:45:00Z,2025-12-24T19:45:00Z
KXBTC15M-25DEC171430-30,KXBTC15M-25DEC171430,"BTC price up in next 15 mins?",finalized,yes,85457,49,2025-12-17T19:30:00Z,2025-12-24T19:30:00Z
KXBTC15M-25DEC171415-15,KXBTC15M-25DEC171415,"BTC price up in next 15 mins?",finalized,no,85751,289,2025-12-17T19:15:00Z,2025-12-24T19:15:00Z
KXBTC15M-25DEC171400-00,KXBTC15M-25DEC171400,"BTC price up in next 15 mins?",finalized,no,85928,217,2025-12-17T19:00:00Z,2025-12-24T19:00:00Z
KXBTC15M-25DEC171345-45,KXBTC15M-25DEC171345,"BTC price up in next 15 mins?",finalized,no,86438,344,2025-12-17T18:45:00Z,2025-12-24T18:45:00Z
KXBTC15M-25DEC171330-30,KXBTC15M-25DEC171330,"BTC price up in next 15 mins?",finalized,no,86508,1310,2025-12-17T18:30:00Z,2025-12-24T18:30:00Z
KXBTC15M-25DEC171315-15,KXBTC15M-25DEC171315,"BTC price up in next 15 mins?",finalized,yes,86385,122,2025-12-17T18:15:00Z,2025-12-24T18:15:00Z
KXBTC15M-25DEC171300-00,KXBTC15M-25DEC171300,"BTC price up in next 15 mins?",finalized,no,86400,891,2025-12-17T18:00:00Z,2025-12-24T18:00:00Z
KXBTC15M-25DEC171245-45,KXBTC15M-25DEC171245,"BTC price up in next 15 mins?",finalized,no,86865,748,2025-12-17T17:45:00Z,2025-12-24T17:45:00Z
KXBTC15M-25DEC171230-30,KXBTC15M-25DEC171230,"BTC price up in next 15 mins?",finalized,yes,86636,1097,2025-12-17T17:30:00Z,2025-12-24T17:30:00Z
KXBTC15M-25DEC171215-15,KXBTC15M-25DEC171215,"BTC price up in next 15 mins?",finalized,no,86938,354,2025-12-17T17:15:00Z,2025-12-24T17:15:00Z
KXBTC15M-25DEC171200-00,KXBTC15M-25DEC171200,"BTC price up in next 15 mins?",finalized,yes,86526,242,2025-12-17T17:00:00Z,2025-12-24T17:00:00Z
KXBTC15M-25DEC171145-45,KXBTC15M-25DEC171145,"BTC price up in next 15 mins?",finalized,yes,86370,643,2025-12-17T16:45:00Z,2025-12-24T16:45:00Z
KXBTC15M-25DEC171130-30,KXBTC15M-25DEC171130,"BTC price up in next 15 mins?",finalized,no,87142,729,2025-12-17T16:30:00Z,2025-12-24T16:30:00Z
KXBTC15M-25DEC171115-15,KXBTC15M-25DEC171115,"BTC price up in next 15 mins?",finalized,no,87336,534,2025-12-17T16:15:00Z,2025-12-24T16:15:00Z
KXBTC15M-25DEC171100-00,KXBTC15M-25DEC171100,"BTC price up in next 15 mins?",finalized,no,88610,540,2025-12-17T16:00:00Z,2025-12-24T16:00:00Z
KXBTC15M-25DEC171045-45,KXBTC15M-25DEC171045,"BTC price up in next 15 mins?",finalized,no,89882,649,2025-12-17T15:45:00Z,2025-12-24T15:45:00Z
KXBTC15M-25DEC171030-30,KXBTC15M-25DEC171030,"BTC price up in next 15 mins?",finalized,no,90130,1134,2025-12-17T15:30:00Z,2025-12-24T15:30:00Z
KXBTC15M-25DEC171015-15,KXBTC15M-25DEC171015,"BTC price up in next 15 mins?",finalized,yes,89564,1062,2025-12-17T15:15:00Z,2025-12-24T15:15:00Z
KXBTC15M-25DEC171000-00,KXBTC15M-25DEC171000,"BTC price up in next 15 mins?",finalized,yes,87443,769,2025-12-17T15:00:00Z,2025-12-24T15:00:00Z
KXBTC15M-25DEC170945-45,KXBTC15M-25DEC170945,"BTC price up in next 15 mins?",finalized,no,87712,1291,2025-12-17T14:45:00Z,2025-12-24T14:45:00Z
KXBTC15M-25DEC170930-30,KXBTC15M-25DEC170930,"BTC price up in next 15 mins?",finalized,yes,87590,649,2025-12-17T14:30:00Z,2025-12-24T14:30:00Z
KXBTC15M-25DEC170915-15,KXBTC15M-25DEC170915,"BTC price up in next 15 mins?",finalized,no,87626,1619,2025-12-17T14:15:00Z,2025-12-24T14:15:00Z
KXBTC15M-25DEC170000-00,KXBTC15M-25DEC170000,"BTC price up in next 15 mins?",finalized,no,86842,673,2025-12-17T05:00:00Z,2025-12-24T05:00:00Z
KXBTC15M-25DEC162345-45,KXBTC15M-25DEC162345,"BTC price up in next 15 mins?",finalized,no,87024,502,2025-12-17T04:45:00Z,2025-12-24T04:45:00Z
KXBTC15M-25DEC162330-30,KXBTC15M-25DEC162330,"BTC price up in next 15 mins?",finalized,no,87307,4457,2025-12-17T04:30:00Z,2025-12-24T04:30:00Z
